ID,Дата парсинга,Название,Артикул,Цена,Изображение,Ссылка
1,2024-10-31 19:05:45,БЛОК-ФАРА ГАЗ-31105  ALRU 059 лев.,Артикул не найден,2877,https://vapkagro.ru/upload/iblock/73c/9cy1rn5w77pqs7kbr0lmwocmc23cerud/blok_fara_gaz_31105_alru_059_lev.jpg,https://vapkagro.ru/catalog/gaz/blok-fara-gaz-31105-alru-059-lev/
2,2024-10-31 19:05:45,"БОЛТ ПОВОРОТНОГО УГОЛЬНИКА Д 18-051   ОАО ""САЗ"" СМ 8462543",Д 18-051,140,https://vapkagro.ru/upload/iblock/2f7/7jloin8xplkq8tdr0fw51b1gdz9dcbfy/bolt_povorotnogo_ugolnika_d_18_051_oao_saz_sm_8462543.jpg,https://vapkagro.ru/catalog/zil/bolt-povorotnogo-ugolnika-d-18-051-oao-saz-sm-8462543/
3,2024-10-31 19:05:45,Панель боковины левая УАЗ-469 под тент 0469-5401059,Артикул не найден,4975,https://vapkagro.ru/upload/main/f7b/xv02xcx2t3e3y2y30vuney77m4enitfe/08fc0742eb162b733f2590b5852c01b0.png,https://vapkagro.ru/catalog/uaz/panel-bokoviny-levaya-uaz-469-pod-tent-0469-5401059/
4,2024-10-31 19:05:45,Подфарник ВАЗ-2106 правый белый (ТН125 П-01) (Освар) 21060-3712010-03,ТН125 П-01,304,https://vapkagro.ru/upload/iblock/cf8/sxoulh70dboj37w03pcj37v49qzsz8t6/podfarnik_vaz_2106_pravyy_belyy_tn125_p_01_osvar_21060_3712010_03.jpg,https://vapkagro.ru/catalog/vaz/podfarnik-vaz-2106-pravyy-belyy-tn125-p-01-osvar-21060-3712010-03/
5,2024-10-31 19:05:45,Патрубки радиатора ВАЗ-2110-12 с хомутами кт. (БРТ) 88РШХ,88РШХ,527,https://vapkagro.ru/upload/iblock/445/q4sjt9o3j7vpsf96f01nn31trzhgpnmj/patrubki_radiatora_vaz_2110_12_s_khomutami_kt_brt_88rshkh.jpg,https://vapkagro.ru/catalog/vaz/patrubki-radiatora-vaz-2110-12-s-khomutami-kt-brt-88rshkh/
6,2024-10-31 19:05:45,Патрубки отопителя ВАЗ-2110-12 с хомутами кт. (БРТ) 89РШХ,89РШХ,388,https://vapkagro.ru/upload/iblock/377/qy7qzxlsz9jdluo97s5jt5al5cnd547h/patrubki_otopitelya_vaz_2110_12_s_khomutami_kt_brt_89rshkh.jpg,https://vapkagro.ru/catalog/vaz/patrubki-otopitelya-vaz-2110-12-s-khomutami-kt-brt-89rshkh/
7,2024-10-31 19:05:45,ЦИЛИНДР СЦЕПЛЕНИЯ ГЛАВНЫЙ С2602   574177 (FENOX) (3 отв 1-боковое),С2602,6150,https://vapkagro.ru/upload/iblock/733/6ji3o4c8fwi1mupnzyisoed5p8c1rctp/tsilindr_stsepleniya_glavnyy_s2602_574177_fenox_3_otv_1_bokovoe.jpg,https://vapkagro.ru/catalog/gaz/tsilindr-stsepleniya-glavnyy-s2602-574177-fenox-3-otv-1-bokovoe/
8,2024-10-31 19:05:45,"МИКАС 11 581.3763-01 E3 Крайслер Газель, Соболь",11 581.3763-01 E3,8967,https://vapkagro.ru/upload/iblock/e2f/uodz3n513327qg00sdhe2rkhjxcssd78/mikas_11_581_3763_01_e3_kraysler_gazel_sobol.jpg,https://vapkagro.ru/catalog/gaz/mikas-11-581-3763-01-e3-kraysler-gazel-sobol/
9,2024-10-31 19:05:45,Патрубки отопителя ВАЗ-2108 с хомутами кт. (БРТ) 87РШХ,Артикул не найден,372,https://vapkagro.ru/upload/iblock/1f5/f9p3no060kjtiw0xfwjtw7rb782kj89g/patrubki_otopitelya_vaz_2108_s_khomutami_kt_brt_87rshkh.jpg,https://vapkagro.ru/catalog/vaz/patrubki-otopitelya-vaz-2108-s-khomutami-kt-brt-87rshkh/
10,2024-10-31 19:05:45,Накладки тормозные 65205210A8RV 1 Ремонт FOMAR,65205210A8RV,1691,https://vapkagro.ru/upload/iblock/6ad/w5jbtgx1q8uq6d8328t8qk7krs6413f6/nakladki_tormoznye_65205210a8rv_1_remont_fomar.jpg,https://vapkagro.ru/catalog/avtomobilnye-zapchasti/nakladki-tormoznye-65205210a8rv-1-remont-fomar/
11,2024-10-31 19:05:45,"Накладки тормозные на 1 мост BPW, SAF, CARDI 200x420 (19094) R0",19094,2145,https://vapkagro.ru/upload/iblock/481/xt6nh4p724yqh9voo0ngrn0ffkjctw4t/nakladki_tormoznye_na_1_most_bpw_saf_cardi_200x420_19094_r0.jpg,https://vapkagro.ru/catalog/avtomobilnye-zapchasti/nakladki-tormoznye-na-1-most-bpw-saf-cardi-200x420-19094-r0/
12,2024-10-31 19:05:45,Патрубки радиатора Г-ль 2752 ДВС 405 4 шт.,Артикул не найден,268,https://vapkagro.ru/upload/iblock/460/7eyeffjpn41flgnz3i5p3dxlhu6le2ww/patrubki_radiatora_g_l_2752_dvs_405_4_sht.jpg,https://vapkagro.ru/catalog/gaz/patrubki-radiatora-g-l-2752-dvs-405-4-sht/
13,2024-10-31 19:05:45,Рычаг верхний передней подвески в сборе левый ГАЗ-3110 31105 (ГАЗ) 3110-2904101,3110-2904101,6420,https://vapkagro.ru/upload/iblock/7c1/dupz6dhdm00w6ayxhxa3t32i7sg8bky3/rychag_verkhniy_peredney_podveski_v_sbore_levyy_gaz_3110_31105_gaz_3110_2904101.jpg,https://vapkagro.ru/catalog/gaz/rychag-verkhniy-peredney-podveski-v-sbore-levyy-gaz-3110-31105-gaz-3110-2904101/
14,2024-10-31 19:05:45,МИКАС 11 581.3763-05 E3 Крайслер Волга,11 581.3763-05 E3,8218,https://vapkagro.ru/upload/iblock/5c5/zhb8v1hwwohyfftmo09pg4f4zal5848k/mikas_11_581_3763_05_e3_kraysler_volga.jpg,https://vapkagro.ru/catalog/gaz/mikas-11-581-3763-05-e3-kraysler-volga/
15,2024-10-31 19:05:45,БЛОК-ФАРА  ALRU 676512.122 прав. УАЗ Патриот,ALRU 676512.122,4941,https://vapkagro.ru/upload/iblock/412/ys0t9k3ncup775ws0hdul25ngyim0wx1/blok_fara_alru_676512_122_prav_uaz_patriot.jpg,https://vapkagro.ru/catalog/uaz/blok-fara-alru-676512-122-prav-uaz-patriot/
16,2024-10-31 19:05:45,Датчик уровня охл. жидкости ВАЗ-2110 2110-3839310-13,2110-3839310-13,67,https://vapkagro.ru/upload/iblock/790/6dgay6h3bvstmj6xdj9lrzrahu8ep2wp/datchik_urovnya_okhl_zhidkosti_vaz_2110_2110_3839310_13.jpg,https://vapkagro.ru/catalog/vaz/datchik-urovnya-okhl-zhidkosti-vaz-2110-2110-3839310-13/
